source_index,section,section_row,original_english,original_spanish,source_abbreviation,canonical_english,canonical_spanish,action,resulting_id,duplicate_of_source_index,match_method,notes
268,Medical Professions,19,Microbiologist,Microbiólogo,,Microbiologist,Microbiólogo,added,1360,,,
269,Medical Professions,20,Nephrologist,Nefrólogo,,Nephrologist,Nefrólogo,added,1361,,,
270,Medical Professions,21,Neurologist,Neurólogo,,Neurologist,Neurólogo,added,1362,,,
271,Medical Professions,22,Neurosurgeon,Neurocirujano,,Neurosurgeon,Neurocirujano,added,1363,,,
272,Medical Professions,23,Nurse Practitioner,Enfermera Especializada,,Nurse Practitioner,Enfermera Especializada,updated_existing,841,,exact_english_or_abbreviation,
273,Medical Professions,24,Nutritionist/ Dietician,Nutricionista,,Nutritionist/ Dietician,Nutricionista,added,1364,,,
274,Medical Professions,25,Ob-Gyn Doctor,Gineco-obstetra,,Ob-Gyn Doctor,Gineco-obstetra,added,1365,,,
275,Medical Professions,26,Obstetrician,Obstetra,,Obstetrician,Obstetra,added,1366,,,
276,Medical Professions,27,Occupational Therapist,Terapeuta ocupacional,,Occupational Therapist,Terapeuta ocupacional,added,1367,,,
277,Medical Professions,28,Optometrist / Optician,Optometrista,,Optometrist / Optician,Optometrista,added,1368,,,
278,Medical Professions,29,Orthopedist,Ortopeda,,Orthopedist,Ortopeda,added,1369,,,
279,Medical Professions,30,Orthotics and Prosthetics,Órtesis y Prótesis,,Orthotics and Prosthetics,Órtesis y Prótesis,added,1370,,,
280,Medical Professions,31,Paramedic,Paramédico,,Paramedic,Paramédico,added,1371,,,
281,Medical Professions,32,Patient Navigator,Guia para pacientes,,Patient Navigator,Guia para pacientes,added,1372,,,
282,Medical Professions,33,Pediatric Nurse,Enfermera Pediátrica,,Pediatric Nurse,Enfermera Pediátrica,added,1373,,,
283,Medical Professions,34,Pediatrician,Pediatra,,Pediatrician,Pediatra,added,1374,,,
284,Medical Professions,35,Pharmacist,Farmacéutico,,Pharmacist,Farmacéutico,added,1375,,,
285,Medical Professions,36,Physician Assistant- PA,Médico Auxiliar,,Physician Assistant,Médico Auxiliar,added,1376,,,Sigla separada del término para mejorar la búsqueda.
286,Medical Professions,37,Podiatrist,Podólogo,,Podiatrist,Podólogo,added,1377,,,
287,Medical Professions,38,Primary Care Physician- PCP,Doctor de Cabecera,,Primary Care Physician,Doctor de Cabecera,updated_existing,5,,exact_english_or_abbreviation,Sigla separada del término para mejorar la búsqueda.
288,Medical Professions,39,Psychiatrist,Psiquiatra,,Psychiatrist,Psiquiatra,added,1378,,,
289,Medical Professions,40,Psychologist,Psicólogo,,Psychologist,Psicólogo,added,1379,,,
290,Medical Professions,41,Pulmonologist,Neumólogo,,Pulmonologist,Neumólogo,added,1380,,,
291,Medical Professions,42,Registered nurse,Enfermera certificada,,Registered nurse,Enfermera certificada,updated_existing,849,,exact_english_or_abbreviation,
292,Medical Professions,43,Resident Doctor,Doctor Residente,,Resident Doctor,Doctor Residente,added,1381,,,
293,Medical Professions,44,Social Worker,Trabajadora Social,,Social Worker,Trabajadora Social,added,1382,,,
294,Medical Professions,45,Surgeon,Cirujano,,Surgeon,Cirujano,added,1383,,,
295,Medical Professions,46,Therapist,Terapeuta,,Therapist,Terapeuta,added,1384,,,
296,Medical Professions,47,Triage Nurse,Enfermera de Clasificación,,Triage Nurse,Enfermera de Clasificación,added,1385,,,
297,Medical Professions,48,Vascular Surgeon,Cirujano vascular,,Vascular Surgeon,Cirujano vascular,added,1386,,,
298,Medical Professions,49,Veterinarian (vet),Veterinario,,Veterinarian (vet),Veterinario,added,1387,,,
299,Ophtalmology,1,Aqueous humor,Humor acuoso,,Aqueous humor,Humor acuoso,added,1388,,,
300,Ophtalmology,2,Astigmatism,Astigmatismo,,Astigmatism,Astigmatismo,added,1389,,,
301,Ophtalmology,3,Blind spot,Punto ciego,,Blind spot,Punto ciego,added,1390,,,
302,Ophtalmology,4,Blurry vision,Visión Borrosa,,Blurry vision,Visión Borrosa,added,1391,,,
303,Ophtalmology,5,Cataracts,Cataratas,,Cataracts,Cataratas,added,1392,,,
304,Ophtalmology,6,Cloudy vision,Visión nublada,,Cloudy vision,Visión nublada,added,1393,,,
305,Ophtalmology,7,Cones and rods,Conos y bastones,,Cones and rods,Conos y bastones,added,1394,,,
306,Ophtalmology,8,Contact lenses,Lentes de contacto,,Contact lenses,Lentes de contacto,added,1395,,,
307,Ophtalmology,9,Glaucoma,Glaucoma,,Glaucoma,Glaucoma,added,1396,,,
308,Ophtalmology,10,Hypermetropia/ Farsightedness,Hipermetropía,,Hypermetropia/ Farsightedness,Hipermetropía,added,1397,,,
309,Ophtalmology,11,Iris,Iris,,Iris,Iris,added,1398,,,
310,Ophtalmology,12,Myopia / Nearsightedness,Miopía,,Myopia / Nearsightedness,Miopía,added,1399,,,
311,Ophtalmology,13,Optic Nerve,Nervio óptico,,Optic Nerve,Nervio óptico,added,1400,,,
312,Ophtalmology,14,Pink eye/ Conjunctivitis,Conjuntivitis,,Pink eye/ Conjunctivitis,Conjuntivitis,added,1401,,,
313,Ophtalmology,15,Pupil,Pupila,,Pupil,Pupila,added,1402,,,
314,Ophtalmology,16,Redness,Enrojecimiento,,Redness,Enrojecimiento,added,1403,,,
315,Ophtalmology,17,Retina,Retina,,Retina,Retina,added,1404,,,
316,Ophtalmology,18,Retina Detachment,Desprendimiento de la retina,,Retina Detachment,Desprendimiento de la retina,added,1405,,,
317,Ophtalmology,19,Sclera,Esclerótica,,Sclera,Esclerótica,added,1406,,,
318,Ophtalmology,20,Shard,Esquirla,,Shard,Esquirla,added,1407,,,
319,Ophtalmology,21,Strabismus,Estrabismo,,Strabismus,Estrabismo,added,1408,,,
320,Ophtalmology,22,Sty,Orzuelo,,Sty,Orzuelo,added,1409,,,
321,Ophtalmology,23,Tear ducts,Conductos lagrimales,,Tear ducts,Conductos lagrimales,added,1410,,,
322,Ophtalmology,24,Watery eyes,Ojos Llorosos,,Watery eyes,Ojos Llorosos,added,1411,,,
323,Dermatology,1,Blister,Ampolla,,Blister,Ampolla,added,1412,,,
324,Dermatology,2,Blotch/ Spot,Parche / mancha,,Blotch/ Spot,Parche / mancha,added,1413,,,
325,Dermatology,3,Canker sore,Afta / Postemilla,,Canker sore,Afta / Postemilla,added,1414,,,
326,Dermatology,4,Cauterize,Cauterizar,,Cauterize,Cauterizar,added,1415,,,
327,Dermatology,5,Cold sore,Herpes labial,,Cold sore,Herpes labial,added,1416,,,
328,Dermatology,6,Eczema,Eczema / Dermatitis Atópica,,Eczema,Eczema / Dermatitis Atópica,added,1417,,,
329,Dermatology,7,Epidermis,Epidermis,,Epidermis,Epidermis,added,1418,,,
330,Dermatology,8,Eruption,Erupción,,Eruption,Erupción,added,1419,,,
331,Dermatology,9,Freckles,Pecas,,Freckles,Pecas,added,1420,,,
332,Dermatology,10,Gangrene,Gangrena,,Gangrene,Gangrena,added,1421,,,
333,Dermatology,11,Hair follicle,Folículo piloso,,Hair follicle,Folículo piloso,added,1422,,,
334,Dermatology,12,Hangnail,Uñero,,Hangnail,Uñero,added,1423,,,
335,Dermatology,13,Ingrown toenail,Uña encarnada,,Ingrown toenail,Uña encarnada,added,1424,,,
336,Dermatology,14,Moisturizing cream,Crema mumectante,,Moisturizing cream,Crema mumectante,added,1425,,,
337,Dermatology,15,Phototherapy,Fototerapia,,Phototherapy,Fototerapia,added,1426,,,
338,Dermatology,16,Psoriasis,Soriasis,,Psoriasis,Soriasis,added,1427,,,
339,Dermatology,17,Pores,Poros,,Pores,Poros,added,1428,,,
340,Dermatology,18,Rash,Sarpullido,,Rash,Sarpullido,added,1429,,,
341,Dermatology,19,Ringworm,Tiña,,Ringworm,Tiña,added,1430,,,
342,Dermatology,20,Scabies,Sarna,,Scabies,Sarna,added,1431,,,
343,Dermatology,21,Scalp,Cuero Cabelludo,,Scalp,Cuero Cabelludo,added,1432,,,
344,Dermatology,22,Skin Culture,Cultivo de piel,,Skin Culture,Cultivo de piel,added,1433,,,
345,Dermatology,23,Skin Layers,Capas de la piel,,Skin Layers,Capas de la piel,added,1434,,,
346,Dermatology,24,Skin tags,Papiloma Cutaneo,,Skin tags,Papiloma Cutaneo,added,1435,,,
347,Dermatology,25,Stretch marks,Estrías,,Stretch marks,Estrías,added,1436,,,
348,Dermatology,26,Sun screen,Filtro Solar,,Sun screen,Filtro Solar,added,1437,,,
349,Dermatology,27,Sunburn,Quemadura de sol,,Sunburn,Quemadura de sol,added,1438,,,
350,Dermatology,28,Vesicle,Vesícula,,Vesicle,Vesícula,added,1439,,,
351,Dermatology,29,Warts,Verrugas,,Warts,Verrugas,added,1440,,,
352,Dermatology,30,Wrinkles,Arrugas,,Wrinkles,Arrugas,added,1441,,,
353,Dental,1,Baby Teeth,Dientes de leche,,Baby Teeth,Dientes de leche,updated_existing,32,,exact_english_or_abbreviation,
354,Dental,2,Canine,Canino,,Canine,Canino,added,1442,,,
355,Dental,3,Chipped Tooth,Diente astillado,,Chipped Tooth,Diente astillado,added,1443,,,
356,Dental,4,Cleaning,Limpieza,,Cleaning,Limpieza,added,1444,,,
357,Dental,5,Crown,Corona,,Crown,Corona,added,1445,,,
358,Dental,6,Decay / Cavity,Caries dental,,Decay / Cavity,Caries dental,added,1446,,,
359,Dental,7,Dental braces,Frenillos Dentales,,Dental braces,Frenillos Dentales,added,1447,,,
360,Dental,8,Dental bridge,Puente dental,,Dental bridge,Puente dental,added,1448,,,
361,Dental,9,Dental Floss,Hilo dental,,Dental Floss,Hilo dental,added,1449,,,
362,Dental,10,Dentures,Dentadura postiza,,Dentures,Dentadura postiza,added,1450,,,
363,Dental,11,Enamel,Esmalte,,Enamel,Esmalte,added,1451,,,
364,Dental,12,Endodontics,Endodoncia,,Endodontics,Endodoncia,added,1452,,,
365,Dental,13,Filling,Obturación/ Relleno dental,,Filling,Obturación/ Relleno dental,added,1453,,,
366,Dental,14,Fluoride,Floruro,,Fluoride,Floruro,added,1454,,,
367,Dental,15,Gargle,Hacer gárgaras,,Gargle,Hacer gárgaras,added,1455,,,
368,Dental,16,Mouthguard,Duarda dental,,Mouthguard,Duarda dental,added,1456,,,
369,Dental,17,Mouthwash,Enjuague Bucal,,Mouthwash,Enjuague Bucal,updated_existing,1090,,exact_english_or_abbreviation,
370,Dental,18,Periodontal Disease,Enfermedad Periodontal,,Periodontal Disease,Enfermedad Periodontal,added,1457,,,
371,Dental,19,Plaque,Placa bacteriana,,Plaque,Placa bacteriana,added,1458,,,
372,Dental,20,Porcelain,Porcelana,,Porcelain,Porcelana,added,1459,,,
373,Dental,21,Root Canal,Tratamiento de nervios/ Endodoncia,,Root Canal,Tratamiento de nervios/ Endodoncia,added,1460,,,
374,Dental,22,TMJ- Temporomandibular joint Disorder,Trastorno de la articulación Temporomandibular,,Temporomandibular joint Disorder,Trastorno de la articulación Temporomandibular,updated_existing,852,,exact_english_or_abbreviation,Sigla separada del término para mejorar la búsqueda.
375,Dental,23,Toothpaste,Pasta dental,,Toothpaste,Pasta dental,added,1461,,,
376,Dental,24,Wisdom tooth,Muela del juicio,,Wisdom tooth,Muela del juicio,added,1462,,,
377,Genetics,1,Albinism,Albinismo,,Albinism,Albinismo,added,1463,,,
378,Genetics,2,Amino acids,Aminoácidos,,Amino acids,Aminoácidos,added,1464,,,
379,Genetics,3,Amniocentesis,Amniocentesis,,Amniocentesis,Amniocentesis,added,1465,,,
380,Genetics,4,Carrier,Portador,,Carrier,Portador,updated_existing,489,,exact_english_or_abbreviation,
381,Genetics,5,Chromosomes,Cromosomas,,Chromosomes,Cromosomas,added,1466,,,
382,Genetics,6,Color blindness,Daltonismo,,Color blindness,Daltonismo,added,1467,,,
383,Genetics,7,Congenital disease,Enfermedad Congénita,,Congenital disease,Enfermedad Congénita,added,1468,,,
384,Genetics,8,DNA,Ácido Desoxirribonucleico- ADN,,DNA,Ácido Desoxirribonucleico- ADN,added,1469,,,
385,Genetics,9,Down Syndrome,Síndrome de Down,,Down Syndrome,Síndrome de Down,added,1470,,,
386,Genetics,10,Gene,Gen,,Gene,Gen,added,1471,,,
387,Genetics,11,Genetic Defects,Defectos Genéticos,,Genetic Defects,Defectos Genéticos,added,1472,,,
388,Genetics,12,Genome,Genoma,,Genome,Genoma,added,1473,,,
389,Genetics,13,Genotype,Genotipo,,Genotype,Genotipo,added,1474,,,
390,Genetics,14,Inherit,Heredar,,Inherit,Heredar,updated_existing,1008,,exact_english_or_abbreviation,
391,Genetics,15,Molecules,Moléculas,,Molecules,Moléculas,added,1475,,,
392,Genetics,16,Mutation,Mutación,,Mutation,Mutación,added,1476,,,
393,Genetics,17,Phenotype,Fenotipo,,Phenotype,Fenotipo,added,1477,,,
394,Genetics,18,Recessive gene,Gen Recesivo,,Recessive gene,Gen Recesivo,added,1478,,,
395,Genetics,19,Sickle cell anemia,Anemia Falciforme,,Sickle cell anemia,Anemia Falciforme,added,1479,,,
396,OBGYN,1,Amenorrhea,Amenorrea,,Amenorrhea,Amenorrea,added,1480,,,
397,OBGYN,2,Amniotic Fluid,Líquido Amniótico,,Amniotic Fluid,Líquido Amniótico,added,1481,,,
398,OBGYN,3,Amniotic sac,Saco amniótico,,Amniotic sac,Saco amniótico,added,1482,,,
399,OBGYN,4,Benign tumor,Tumor benigno,,Benign tumor,Tumor benigno,added,1483,,,
400,OBGYN,5,Breast Engorgement,Congestion Mamaria,,Breast Engorgement,Congestion Mamaria,added,1484,,,
401,OBGYN,6,Breast Tenderness,Mastalgia,,Breast Tenderness,Mastalgia,added,1485,,,
402,OBGYN,7,C-Section,Cesárea,,C-Section,Cesárea,added,1486,,,
403,OBGYN,8,Colposcopy,colposcopía,,Colposcopy,colposcopía,added,1487,,,
404,OBGYN,9,Contraceptives,Anticonceptivos,,Contraceptives,Anticonceptivos,updated_existing,1042,,exact_english_or_abbreviation,
405,OBGYN,10,Contractions,Contracciones,,Contractions,Contracciones,added,1488,,,
406,OBGYN,11,Dilation,Dilatación,,Dilation,Dilatación,added,1489,,,
407,OBGYN,12,Discharge/ Drainage,Secreción,,Discharge/ Drainage,Secreción,added,1490,,,
408,OBGYN,13,Due date,Fecha probable de parto,,Due date,Fecha probable de parto,added,1491,,,
409,OBGYN,14,Ectopic Pregnancy,Embarazo Ectópico,,Ectopic Pregnancy,Embarazo Ectópico,added,1492,,,
410,OBGYN,15,Family planning,Planificación Familiar,,Family planning,Planificación Familiar,consolidated_source_duplicate,1294,196,,
411,OBGYN,16,Fetus,Feto,,Fetus,Feto,added,1493,,,
412,OBGYN,17,Full term,Término completo,,Full term,Término completo,added,1494,,,
413,OBGYN,18,Gestational Diabetes,Diabetes Gestacional,,Gestational Diabetes,Diabetes Gestacional,added,1495,,,
414,OBGYN,19,Heavy Bleeding,Sangrado abundante,,Heavy Bleeding,Sangrado abundante,added,1496,,,
415,OBGYN,20,Infertility,Infertilidad,,Infertility,Infertilidad,added,1497,,,
416,OBGYN,21,Jaundice,Ictericia,,Jaundice,Ictericia,added,1498,,,
417,OBGYN,22,Malignant Tumor,Tumor maligno,,Malignant Tumor,Tumor maligno,added,1499,,,
418,OBGYN,23,Mastéctomy,Mastectomía,,Mastéctomy,Mastectomía,added,1500,,,
419,OBGYN,24,Mastitis,Mastitis,,Mastitis,Mastitis,added,1501,,,
420,OBGYN,25,Menopause,Menopausia,,Menopause,Menopausia,added,1502,,,
421,OBGYN,26,Menstrual cycle,Ciclo menstrual,,Menstrual cycle,Ciclo menstrual,added,1503,,,
422,OBGYN,27,Menstrual pad,Toalla sanitaria,,Menstrual pad,Toalla sanitaria,updated_existing,1085,,exact_english_or_abbreviation,
423,OBGYN,28,Miscarriage,Aborto espontáneo,,Miscarriage,Aborto espontáneo,added,1504,,,
424,OBGYN,29,Newborn,Recien nacido,,Newborn,Recien nacido,added,1505,,,
425,OBGYN,30,Ovulation,Ovulación,,Ovulation,Ovulación,added,1506,,,
426,OBGYN,31,Pap Smear Test,Prueba de Papanicolau,,Pap Smear Test,Prueba de Papanicolau,added,1507,,,
427,OBGYN,32,Postpartum depression,Depresión Post Parto,,Postpartum depression,Depresión Post Parto,added,1508,,,
428,OBGYN,33,Preeclampsia,Preeclampsia,,Preeclampsia,Preeclampsia,added,1509,,,
429,OBGYN,34,Premature,Prematuro,,Premature,Prematuro,added,1510,,,
430,OBGYN,35,Prenatal vitamins,Vitaminas prenatales,,Prenatal vitamins,Vitaminas prenatales,updated_existing,1105,,exact_english_or_abbreviation,
431,OBGYN,36,Screening Mammogram,Mamografía de detección,,Screening Mammogram,Mamografía de detección,added,1511,,,
432,OBGYN,37,STD- Sexually Transmitted Diseases,Enfermedades de transmisión sexual,,Sexually Transmitted Diseases,Enfermedades de transmisión sexual,updated_existing,851,,exact_english_or_abbreviation,Sigla separada del término para mejorar la búsqueda.
433,OBGYN,38,Tubal Ligation,Ligadura de trompas de falopio,,Tubal Ligation,Ligadura de trompas de falopio,added,1512,,,
434,OBGYN,39,Umbilical cord,Cordón umbilical,,Umbilical cord,Cordón umbilical,added,1513,,,
435,OBGYN,40,Yeast Infection,Infección por candidiásis,,Yeast Infection,Infección por candidiásis,added,1514,,,
436,Tests and Procedures,1,Adenoidectomy,Adenoidectomía,,Adenoidectomy,Adenoidectomía,added,1515,,,
437,Tests and Procedures,2,Albumin Test,Prueba de Albúmina,,Albumin Test,Prueba de Albúmina,added,1516,,,
438,Tests and Procedures,3,Amniocentesis,Amniocentesis,,Amniocentesis,Amniocentesis,consolidated_source_duplicate,1465,379,,
439,Tests and Procedures,4,Appendectomy,Apendectomía,,Appendectomy,Apendectomía,added,1517,,,
440,Tests and Procedures,5,Arthroscopy,Artroscopia,,Arthroscopy,Artroscopia,added,1518,,,
441,Tests and Procedures,6,Auscultation,Auscultación,,Auscultation,Auscultación,added,1519,,,
442,Tests and Procedures,7,Barium Contrast Test,Prueba de Contraste de bario,,Barium Contrast Test,Prueba de Contraste de bario,added,1520,,,
443,Tests and Procedures,8,Biopsy,Biopsia,,Biopsy,Biopsia,added,1521,,,
444,Tests and Procedures,9,Blood test,Prueba de Sangre,,Blood test,Prueba de Sangre,added,1522,,,
445,Tests and Procedures,10,Blood Transfusion,Transfusión de sangre,,Blood Transfusion,Transfusión de sangre,added,1523,,,
446,Tests and Procedures,11,Bone Density Test,Prueba de densidad ósea,,Bone Density Test,Prueba de densidad ósea,added,1524,,,
447,Tests and Procedures,12,Breast Implant,Implante de senos,,Breast Implant,Implante de senos,added,1525,,,
448,Tests and Procedures,13,Cataract Surgery,Cirugía de cataratas,,Cataract Surgery,Cirugía de cataratas,added,1526,,,
449,Tests and Procedures,14,Catheterization,Cateterísmo,,Catheterization,Cateterísmo,added,1527,,,
450,Tests and Procedures,15,Cauterize,Cauterizar,,Cauterize,Cauterizar,consolidated_source_duplicate,1415,326,,
451,Tests and Procedures,16,Chemotherapy,Quimioterapia,,Chemotherapy,Quimioterapia,added,1528,,,
452,Tests and Procedures,17,Cholecystectomy,Colicistectomía,,Cholecystectomy,Colicistectomía,added,1529,,,
453,Tests and Procedures,18,Circumcision,Circuncisión,,Circumcision,Circuncisión,added,1530,,,
454,Tests and Procedures,19,Colon Prep,Preparación del Colon,,Colon Prep,Preparación del Colon,added,1531,,,
455,Tests and Procedures,20,Colostomy,Colostomía,,Colostomy,Colostomía,added,1532,,,
456,Tests and Procedures,21,Colposcopy,Colposcopía,,Colposcopy,Colposcopía,consolidated_source_duplicate,1487,403,,
457,Tests and Procedures,22,Contrast Dye,Tinte de contraste/ medio de Contraste,,Contrast Dye,Tinte de contraste/ medio de Contraste,added,1533,,,
458,Tests and Procedures,23,Cornea Transplant,Transplante de Cornea,,Cornea Transplant,Transplante de Cornea,added,1534,,,
459,Tests and Procedures,24,Coronary Artery Bypass,Desviación de la arteria coronaria,,Coronary Artery Bypass,Desviación de la arteria coronaria,added,1535,,,
460,Tests and Procedures,25,Creatinine Test,Prueba de Creatinina,,Creatinine Test,Prueba de Creatinina,added,1536,,,
461,Tests and Procedures,26,CT scan / CAT Scan,Tomografia (Axial) Computariza,,CT scan / CAT Scan,Tomografia (Axial) Computariza,added,1537,,,
462,Tests and Procedures,27,Cystoscopy,Cistoscopia,,Cystoscopy,Cistoscopia,added,1538,,,
463,Tests and Procedures,28,Dilation & Curettage,Dilatación y legrado,,Dilation & Curettage,Dilatación y legrado,updated_existing,815,,exact_english_or_abbreviation,
464,Tests and Procedures,29,Echocardiogram- ECG,Ecocardiograma,,Echocardiogram,Ecocardiograma,added,1539,,,Sigla separada del término para mejorar la búsqueda. La fuente asocia ECG con Echocardiogram. No se añadió esa sigla a la ficha porque el proyecto ya la usa para Electrocardiogram; la forma fuente permanece documentada.
465,Tests and Procedures,30,EGD- Esophagogastroduodenoscopy,Esofagogastroduodenoscopía,,Esophagogastroduodenoscopy,Esofagogastroduodenoscopía,updated_existing,823,,exact_english_or_abbreviation,Sigla separada del término para mejorar la búsqueda.
466,Tests and Procedures,31,Electrocardiogram- EKG,Electrocardiograma,,Electrocardiogram,Electrocardiograma,updated_existing,821,,exact_english_or_abbreviation,Sigla separada del término para mejorar la búsqueda.
467,Tests and Procedures,32,Electroencephalogram- EEG,Electroencefalograma,,Electroencephalogram,Electroencefalograma,updated_existing,822,,exact_english_or_abbreviation,Sigla separada del término para mejorar la búsqueda.
468,Tests and Procedures,33,Enema,Enema *Anal*,,Enema,Enema *Anal*,added,1540,,,
469,Tests and Procedures,34,Epidural Anesthesia,Anestesia Epidural,,Epidural Anesthesia,Anestesia Epidural,added,1541,,,
470,Tests and Procedures,35,Fetal Non Stress Test,Prueba Sin Esfuerzo Cardíaco Fetal,,Fetal Non Stress Test,Prueba Sin Esfuerzo Cardíaco Fetal,added,1542,,,
471,Tests and Procedures,36,Gastric Lavage / Gastric Pumping,Lavado gástrico,,Gastric Lavage / Gastric Pumping,Lavado gástrico,added,1543,,,
472,Tests and Procedures,37,Glaucoma Test,Prueba de Glaucoma,,Glaucoma Test,Prueba de Glaucoma,added,1544,,,
473,Tests and Procedures,38,Heel Prick,Punción talonar,,Heel Prick,Punción talonar,added,1545,,,
474,Tests and Procedures,39,Hemodialysis,Hemodialisis,,Hemodialysis,Hemodialisis,added,1546,,,
475,Tests and Procedures,40,Hernia Repair Surgery,Cirugía de reparación de hernia,,Hernia Repair Surgery,Cirugía de reparación de hernia,added,1547,,,
476,Tests and Procedures,41,Hip replacement,Sustitución de cadera,,Hip replacement,Sustitución de cadera,added,1548,,,
477,Tests and Procedures,42,Hysterectomy,Histerectomía,,Hysterectomy,Histerectomía,added,1549,,,
478,Tests and Procedures,43,Hysteroscopy,Histeroscopia,,Hysteroscopy,Histeroscopia,added,1550,,,
479,Tests and Procedures,44,Infusions,Infusiones,,Infusions,Infusiones,added,1551,,,
480,Tests and Procedures,45,Intubation,Intubación,,Intubation,Intubación,added,1552,,,
481,Tests and Procedures,46,Kegel Exercises,Ejercicios de Kegel,,Kegel Exercises,Ejercicios de Kegel,added,1553,,,
482,Tests and Procedures,47,Kidney Function Test,Prueba de función renal,,Kidney Function Test,Prueba de función renal,added,1554,,,
483,Tests and Procedures,48,Knee replacement,Sustitución de rodilla,,Knee replacement,Sustitución de rodilla,added,1555,,,
484,Tests and Procedures,49,Laparoscopic Surgery,Cirugía Laparoscópica,,Laparoscopic Surgery,Cirugía Laparoscópica,added,1556,,,
485,Tests and Procedures,50,Lipid Panel,Perfil lipídico,,Lipid Panel,Perfil lipídico,added,1557,,,
486,Tests and Procedures,51,Lumbar Puncture /Spinal Tap,Punción lumbar,,Lumbar Puncture /Spinal Tap,Punción lumbar,added,1558,,,
487,Tests and Procedures,52,Lumpectomy,Tumorectomía / Extirpación de tumor,,Lumpectomy,Tumorectomía / Extirpación de tumor,added,1559,,,
488,Tests and Procedures,53,Mammogram,Mamografía,,Mammogram,Mamografía,added,1560,,,
489,Tests and Procedures,54,Mastectomy,Mastectomía,,Mastectomy,Mastectomía,consolidated_source_duplicate,1500,418,,
490,Tests and Procedures,55,Pap Smear Test,Prueba de papanicolau,,Pap Smear Test,Prueba de papanicolau,consolidated_source_duplicate,1507,426,,
491,Tests and Procedures,56,Physical Exam,Exámen físico,,Physical Exam,Exámen físico,added,1561,,,
492,Tests and Procedures,57,Polypectomy/ Polyp Removal,Polipectomía/ Extirpación de Pólipos,,Polypectomy/ Polyp Removal,Polipectomía/ Extirpación de Pólipos,added,1562,,,
493,Tests and Procedures,58,Prostatic Specific Antigen Test- PSA,Prueba de Antígeno prostático específico,,Prostatic Specific Antigen Test,Prueba de Antígeno prostático específico,added,1563,,,Sigla separada del término para mejorar la búsqueda.
494,Tests and Procedures,59,Screening test,Prueba de detección / tamizaje,,Screening test,Prueba de detección / tamizaje,added,1564,,,
495,Tests and Procedures,60,Skin Graft,Injerto de piel,,Skin Graft,Injerto de piel,added,1565,,,
496,Tests and Procedures,61,Sleep Study,Estudio del sueño,,Sleep Study,Estudio del sueño,added,1566,,,
497,Tests and Procedures,62,Sonogram,Sonograma/ Ecografía,,Sonogram,Sonograma/ Ecografía,added,1567,,,
498,Tests and Procedures,63,Spinal Anesthesia,Anestesia raquidea,,Spinal Anesthesia,Anestesia raquidea,added,1568,,,
499,Tests and Procedures,64,Spirometry Test,Prueba de espirometría,,Spirometry Test,Prueba de espirometría,added,1569,,,
500,Tests and Procedures,65,Stress test,Prueba de tolerancia al esfuerzo cardíaco,,Stress test,Prueba de tolerancia al esfuerzo cardíaco,updated_existing,24,,exact_english_or_abbreviation,
501,Tests and Procedures,66,Surgery,Cirugía,,Surgery,Cirugía,added,1570,,,
502,Tests and Procedures,67,Swab,Hisopado,,Swab,Hisopado,updated_existing,25,,exact_english_or_abbreviation,
503,Tests and Procedures,68,Swallowing test,Prueba de deglución,,Swallowing test,Prueba de deglución,added,1571,,,
504,Tests and Procedures,69,TB Skin test,Prueba cutánea de tuberculina,,TB Skin test,Prueba cutánea de tuberculina,added,1572,,,
505,Tests and Procedures,70,Tonsillectomy,Amigdalectomía,,Tonsillectomy,Amigdalectomía,added,1573,,,
506,Tests and Procedures,71,Tracheostomy,Traqueostomía,,Tracheostomy,Traqueostomía,added,1574,,,
507,Tests and Procedures,72,Upper Endoscopy,Endoscopia digestiva alta,,Upper Endoscopy,Endoscopia digestiva alta,updated_existing,823,,exact_english_or_abbreviation,
508,Tests and Procedures,73,Urine Test,Prueba de orina,,Urine Test,Prueba de orina,updated_existing,1013,,exact_english_or_abbreviation,
509,Tests and Procedures,74,Uroculture/ Urine Culture,Urocultivo/ cultivo de orina,,Uroculture/ Urine Culture,Urocultivo/ cultivo de orina,updated_existing,1014,,exact_english_or_abbreviation,
510,Tests and Procedures,75,Vaginal Douche,Lavado / ducha vaginal,,Vaginal Douche,Lavado / ducha vaginal,updated_existing,1015,,exact_english_or_abbreviation,
511,Tests and Procedures,76,Vaginoplasty,Vaginoplastía,,Vaginoplasty,Vaginoplastía,updated_existing,1016,,exact_english_or_abbreviation,
512,Tests and Procedures,77,Vital signs check,Revisión de Signos Vitales,,Vital signs check,Revisión de Signos Vitales,updated_existing,1017,,exact_english_or_abbreviation,
513,Tests and Procedures,78,Wound Debridement,Desbridamiento de heridas,,Wound Debridement,Desbridamiento de heridas,updated_existing,1018,,exact_english_or_abbreviation,
514,Medical Supplies,1,Aid Button,Botón de ayuda,,Aid Button,Botón de ayuda,updated_existing,1019,,exact_english_or_abbreviation,
515,Medical Supplies,2,Artificial Nipple,Pezón artificial,,Artificial Nipple,Pezón artificial,updated_existing,1020,,exact_english_or_abbreviation,
516,Medical Supplies,3,Baby bottle,Biberón,,Baby bottle,Biberón,updated_existing,31,,exact_english_or_abbreviation,
517,Medical Supplies,4,Baby car seat,Asiento de seguridad para bebés,,Baby car seat,Asiento de seguridad para bebés,updated_existing,1021,,exact_english_or_abbreviation,
