english,spanish,section,source_page
CHIP (The Children’s Health Insurance Program),Programa de Seguro Médico para niños,welfare,20
Compensation,Indemnización,welfare,20
Counselor,Consejero / terapeuta,welfare,20
Death Certificate,Acta de Defunción,welfare,20
Dependant,Dependiente,welfare,20
Diapers,Pañales,welfare,20
Disclaimer/ Disclosure,Declaración; Divulgación Legal (liberación de responsabilidades),welfare,20
Domestic Violence,Violencia Domestica,welfare,20
Dustmite,Ácaros,welfare,20
Employer,Empleador,welfare,20
Every other day,Día de por medio,welfare,20
Eviction order,Orden de desalojo,welfare,20
Fair hearing,Audiencia justa,welfare,20
File taxes,Declarar Impuestos,welfare,20
Liquidated damages,Daños y perjuicios,welfare,20
Lost Wages,Sueldos caídos/ No devengados,welfare,20
SNAP (Supplemental Nutrition Assitance Program)/food stamps,Programa de Asistencia Nutricional Suplementaria; cupones de alimentos,welfare,20
SSI (Supplemental Security Income),Seguridad de Ingreso Suplementario,welfare,20
TANF (Temporary Assistance for Needy Families),Asistencia Temporal para Familias Necesitadas,welfare,20
UC (Unemployment Compensation),Indemnización por desempleo,welfare,20
WIC (Women Infant and Children),"Mujeres, Infantes y Niños",welfare,20
